term,tfidf
link,4697.043837467113
service,4692.7034424871035
request,4686.977831994385
scala,4685.039355512476
javascript,4683.881296877237
header,4683.411335030374
navigation,4683.063385255901
java,4681.924198603164
search,4681.245704558449
endpoint,4679.048615746524
html,4678.857655893329
meta,4678.227665674716
error,4675.778437533455
comment,4675.502525119053
network,4675.126918920461
time,4675.084706683928
cloud,4674.066249566325
bow,4673.630653788112
author,4672.199513260897
login,4672.00476010612
description,4671.925960851003
token,4671.571252287844
response,4671.513759992262
data,4671.052966448191
tokenize,4670.999283886192
keyword,4670.595897850035
vector,4669.799868687568
footer,4668.9998453275575
anchor,4667.991465527855
sidebar,4666.982310500726
image,4666.617190450748
neural,4666.5233037646485
spark,4665.6947072899475
css,4664.238202019481
stem,4664.208636351068
user,4663.831872301504
hadoop,4663.620856584205
api,4662.971071041077
video,4662.774093070785
download,4661.3617286837125
news,4660.724962977299
python,4660.062074450027
xml,4659.625831727617
embed,4658.4469937984095
analysis,4657.898014298009
snippet,4657.169776196089
tfidf,4657.035163661644
page,4656.323196961223
crawl,4654.744288757118
extract,4653.8083791996905
date,4653.625362537255
clean,4653.341430765624
index,4652.65050638365
json,4652.546140577059
post,4651.067923183728
model,4650.923872552874
script,4650.68080079354
content,4650.482432617691
lemma,4650.194336220538
title,4646.813084719229
blog,4646.61751337743
dataset,4644.986236381492
learning,4636.822697963873
view,4628.9697158372455
mapreduce,4627.995081593439
summary,4626.643412829155
anchors,2434.6448378000546
morea,1688.148468668257
classcontent,1688.148468668257
hrefhttpwwwsampleinfoarticleread,67.92941069904069
hrefhttpwwwdatasourceukarticleread,65.5479085925722
hrefhttpwwwmediacentercoarticleread,64.66008128880286
hrefhttpwwwblogsiteeduarticleread,64.5839857019285
hrefhttpwwwdatasourcenetarticleread,63.567806012404034
hrefhttpwwwopenwebdearticleread,63.52329237546903
hrefhttpwwwtechhubnetarticleread,63.49037009938069
hrefhttpwwwopenwebeduarticleread,63.42002080874069
hrefhttpwwwopenweborgarticleread,62.78933946508827
hrefhttpwwwdatasourceeduarticleread,62.32090224503042
hrefhttpwwwnewsportalcoarticleread,62.17427794493059
hrefhttpwwwopenwebcomarticleread,62.01806414559542
hrefhttpwwwdemoioarticleread,61.963585290782916
hrefhttpwwwarchiveukarticleread,61.911741857234006
hrefhttpwwwmediacentergovarticleread,61.72249263686055
hrefhttpwwwdemocomarticleread,61.53096418788285
hrefhttpwwwnewsportaldearticleread,61.237754318182944
hrefhttpwwwnewsportalorgarticleread,60.86357562041889
hrefhttpwwwarchiveioarticleread,60.49160037854871
hrefhttpwwwexampleukarticleread,60.41847254826637
hrefhttpwwwtechhubdearticleread,60.30697931710841
hrefhttpwwwmediacenternetarticleread,60.137764141609104
hrefhttpwwwexampleorgarticleread,60.11224058613212
hrefhttpwwwmediacenterorgarticleread,60.06376595107129
hrefhttpwwwdemoeduarticleread,60.036562697905936
hrefhttpwwwopenwebioarticleread,59.983894563021614
hrefhttpwwwarchiveeduarticleread,59.76876691593267
hrefhttpwwwexamplecoarticleread,59.53678020427203
hrefhttpwwwnewsportalnetarticleread,59.38071800340026
hrefhttpwwwexamplecomarticleread,59.373441192288794
hrefhttpwwwmediacenterdearticleread,59.20880869767134
